[21.06.2026-22:09:25:916] | [XGB] StateWatcher loaded.
[21.06.2026-22:09:25:950] | [XGB] Harvester loaded.
[21.06.2026-22:09:25:959] | [SERIAL] Connection error on COM: could not open port 'COM': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
[21.06.2026-22:09:27:238] | [UI] Culture health update error. Payload is NaN.
[21.06.2026-22:09:27:726] | [UI] AI Chat loaded.
[21.06.2026-22:09:27:729] | [UI] Switched to tab: Home
[21.06.2026-22:09:27:730] | [UI] Tabbed interface initialized.
[21.06.2026-22:13:06:328] | [XGB] StateWatcher loaded.
[21.06.2026-22:13:06:364] | [XGB] Harvester loaded.
[21.06.2026-22:13:06:371] | [SERIAL] Connection error on COM: could not open port 'COM': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
[21.06.2026-22:13:41:811] | [XGB] StateWatcher loaded.
[21.06.2026-22:13:41:848] | [XGB] Harvester loaded.
[21.06.2026-22:13:41:856] | [SERIAL] Connection error on COM: could not open port 'COM': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
[21.06.2026-22:13:43:200] | [UI] Culture health update error. Payload is NaN.
[21.06.2026-22:13:43:709] | [UI] AI Chat loaded.
[21.06.2026-22:13:43:712] | [UI] Switched to tab: Home
[21.06.2026-22:13:43:713] | [UI] Tabbed interface initialized.
[21.06.2026-22:13:52:886] | [UI] 'Add Water' action triggered.
[21.06.2026-22:13:52:919] | [SYS] Water request satisfied.
[21.06.2026-22:13:53:290] | [SYS] Harvest request satisfied.
d.
[21.06.2026-22:13:56:407] | [UI] Switched to tab: State
[21.06.2026-22:14:03:511] | [UI] Switched to tab: Trends
[21.06.2026-22:23:42:111] | [UI] Culture health updated: -1023.8961791992188%.
[21.06.2026-22:33:42:107] | [UI] Culture health updated: -1023.8961791992188%.
[21.06.2026-22:43:42:205] | [UI] Culture health updated: -1023.8961791992188%.
[21.06.2026-22:45:56:968] | [UI] Switched to tab: Harvest
[21.06.2026-22:45:58:657] | [UI] Switched to tab: Home
[21.06.2026-22:46:03:252] | [UI] Switched to tab: State
